Hergang;Fotos?;Kunden-Nr.;SPARTE;CLAIMSTATUS;TOTAL SCHADENAUFWAND
Balkontisch umgewindet (Sturm ausgewiesen);Ja;10726;HR;geschlossen;1498.9
PS - StSt hi li - Kratzer;Ja;10703;MFK;geschlossen;1314.75
Kochfeld stark zerkratzt (vollständig an uns) und Wände abgenutzt (1/4 der Malerarbeiten an uns);Ja;10650;PH;geschlossen;
Haben im Garten ein Partyzelt. Es hat gewittert und das Zelt wurde beschädigt.;Ja;10628;HR;geschlossen;1806.8
Kratzer auf der Motorhaube;Ja;10622;MFK;geschlossen;
Rücklicht des Veloträgers abgebrochen worden durch unbekannt;Ja;10607;MFK;geschlossen;2197.7
Linker Seitenspiegel abgefahren;Ja;10536;MFK;geschlossen;
Kratzer hi li / unklar ob PS (bis 1000) oder Kollision - wir warten Fotos ab;Ja;10513;MFK;geschlossen;3799.9
Segelboot gemietet in Kroatien - Mastbruch / Fall abgelehnt;Ja;10281;;;
Riss Panoramadach;Ja;10268;MFK;geschlossen;
Rückicht hi re beschädigt ;Ja;10257;;;
Riss in der FS;Ja;10250;MFK;geschlossen;464.8
Heck beschädigt - Kollision mit unbekannt;Ja;10221;MFK;geschlossen;
Steinschlag Frontscheibe;Ja;10206;;;
Topf stand auf Plastikfolie Untertopf / Wasser trotz minimaler Bewässerung auf Parkett von Mieter darunter getropft, Schaden am Parkett Dritter;Ja;10171;PH;geschlossen;
PS - StSt hinten, Rep bereits gemacht Kosten ca chf 400, trotzdem Fotos einverlangt;Ja;10138;;;
Seitenspiegel abgefahren am Fzg vom Kollegen SH = chf 570;Ja;10052;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
